WKT,fid,tipe,nama,panjang
"LINESTRING (113.7047394 -8.1781998,113.7048311 -8.1781976,113.7052683 -8.1781432,113.7054024 -8.1781492)",1,trunk,Jalan Letnan Jenderal Donald Isaac Panjaitan,73.5026494494121
"LINESTRING (113.6944883 -8.1719567,113.6948162 -8.1718495,113.6951886 -8.1717264,113.6955189 -8.1716186,113.6963417 -8.1713259)",2,trunk,Jalan Gajah Mada,215.991027164865
"LINESTRING (113.7042669 -8.1668433,113.7040789 -8.1667059,113.7037277 -8.1664674,113.703556 -8.1663507,113.7034626 -8.1662873,113.7034119 -8.1662529,113.7030553 -8.1660187,113.7027796 -8.1658117)",3,tertiary,Jalan Anggrek,199.89186689698
"LINESTRING (113.7037888 -8.1729182,113.7035279 -8.1730144,113.703459 -8.173032,113.7034032 -8.1730403,113.7032329 -8.1730635,113.7030995 -8.1730682,113.7029333 -8.1730601,113.7025856 -8.173023)",4,residential,Jalan Jenderal Gatot Subroto,135.326531584222
"LINESTRING (113.7018245 -8.1667013,113.701727 -8.1667822,113.7012614 -8.1670568,113.7011684 -8.1671721,113.7011318 -8.1673379,113.7010971 -8.1679009)",5,tertiary,Jalan Wijaya Kusuma,171.24190226483
"LINESTRING (113.6776465 -8.1794414,113.6777304 -8.1797371,113.6777794 -8.1799931,113.6778829 -8.1804331,113.6779224 -8.1807558,113.6779709 -8.1811846,113.6779918 -8.1813364,113.6780426 -8.1819785,113.6780745 -8.1822702,113.6780769 -8.1822948,113.6781099 -8.1826394,113.6781342 -8.1828582,113.6781497 -8.1830815,113.6781616 -8.1832037)",6,tertiary,Jalan Nusantara,421.083216757852
"LINESTRING (113.69239 -8.1741466,113.6922526 -8.174089,113.6921627 -8.1740528,113.6921339 -8.1740412,113.6920355 -8.1739959,113.6920099 -8.1739841,113.691855 -8.1739091,113.6915874 -8.1737638,113.6915009 -8.1737133,113.6914198 -8.1736529,113.6913749 -8.1736018,113.6912793 -8.1734553)",7,trunk,Jalan Haji Oemar Said Cokroaminoto,147.292707102545
"LINESTRING (113.7046337 -8.1750913,113.7045157 -8.1751921,113.7044822 -8.1752167,113.7044366 -8.1752353,113.7043863 -8.1752459,113.7043427 -8.1752578,113.7042461 -8.1752804,113.7039182 -8.1752844,113.7035728 -8.1752918,113.7034857 -8.1752937,113.7031564 -8.1752917,113.7028232 -8.1753063,113.7024906 -8.1753076,113.7022197 -8.1753063,113.7021458 -8.1753073,113.7017309 -8.1753216,113.7013239 -8.1753415,113.7008697 -8.1753554,113.7005146 -8.1753467,113.7002697 -8.1753542,113.6999588 -8.1753658,113.6994027 -8.1753846,113.6990266 -8.1754006,113.6987478 -8.175411,113.6979953 -8.1754067,113.697564 -8.1754042,113.6970664 -8.1754205,113.6965442 -8.1754377,113.6964623 -8.1754391,113.6963135 -8.1754417,113.6961298 -8.175443,113.695934 -8.175443,113.6957274 -8.175441,113.6956054 -8.1754351,113.6955108 -8.1754218,113.6954371 -8.1754062,113.6953278 -8.1753687,113.695197 -8.1753129,113.6949751 -8.1752286,113.694793 -8.1751437,113.6947457 -8.1751181,113.6946864 -8.175081,113.6946128 -8.1750241)",8,trunk,Jalan Trunojoyo,1121.5409932947
"LINESTRING (113.7572265 -8.1873198,113.7571487 -8.186441,113.7571581 -8.186214,113.7571889 -8.1858317)",9,secondary,Jalan Borobudur,165.23640275998
"LINESTRING (113.7462911 -8.1872227,113.7462295 -8.1873188,113.7462146 -8.1873421,113.746091 -8.1875579,113.7459786 -8.187731,113.745819 -8.187953,113.7456795 -8.1881041,113.7454511 -8.1882857,113.7450964 -8.1885478,113.7449044 -8.1887083,113.7446389 -8.1888928,113.7445081 -8.1890473,113.7444435 -8.1891363,113.7443492 -8.1893574,113.7442547 -8.1895109,113.7440259 -8.1897371,113.743744 -8.1899794,113.7429377 -8.1906526,113.7422249 -8.1912795,113.7414199 -8.1919717,113.7406108 -8.1926262,113.740073 -8.1930465,113.7392637 -8.1936556,113.7390094 -8.1938145,113.7388426 -8.1938719,113.7386531 -8.193925,113.7381483 -8.1940595)",10,secondary,Jalan Laksamana Yos Sudarso,1192.96879722975
