WKT,id,kelurahan_id,nama,golongan,status,kapasitas_jiwa,kapasitas_volume,volume_terpakai
"MULTIPOLYGON (((113.64020894 -8.20241991,113.64034162 -8.20248132,113.64030333 -8.20254568,113.64017395 -8.202481,113.64020894 -8.20241991)))","1","7",TPS Griya Mangli,TIPE_II,AKTIF,"30000","300","290"
"MULTIPOLYGON (((113.65206073 -8.185073,113.65211132 -8.18496061,113.65217634 -8.18498724,113.65212617 -8.18509897,113.65206073 -8.185073)))","2","7",TPS Bumi Mangli,TIPE_II,AKTIF,"30000","300","250"
"MULTIPOLYGON (((113.65267407 -8.19727228,113.65270444 -8.1972406,113.65273183 -8.19726673,113.65270411 -8.19729581,113.65267407 -8.19727228)))","3","7",TPS Ajung,TIPE_I,AKTIF,"2500","100","92"
"MULTIPOLYGON (((113.67610347 -8.19029698,113.67615256 -8.19029045,113.6761602 -8.19043623,113.67611159 -8.1904435,113.67610347 -8.19029698)))","4","5",TPS Imam Bonjol,TIPE_II,AKTIF,"30000","300","240"
"MULTIPOLYGON (((113.68303606 -8.19543236,113.68312616 -8.19541407,113.68314201 -8.19549476,113.68305091 -8.19551501,113.68303606 -8.19543236)))","5","2",TPS Tegal Besar,TIPE_II,AKTIF,"30000","300","260"
"MULTIPOLYGON (((113.69424081 -8.1759591,113.69444157 -8.17603694,113.69438084 -8.17616697,113.69418527 -8.17607582,113.69424081 -8.1759591)))","6","3",TPS Talangsari,TIPE_III,AKTIF,"120000","1000","920"
"MULTIPOLYGON (((113.69904953 -8.19942076,113.69906966 -8.1994397,113.69902279 -8.19948805,113.69900035 -8.19947009,113.69904953 -8.19942076)))","7","2",TPS Muktisari,TIPE_I,AKTIF,"2500","100","98"
"MULTIPOLYGON (((113.676272552496 -8.1652601092701,113.676276616904 -8.16529804374198,113.676299919508 -8.16529479221582,113.676293416456 -8.16525794158599,113.676272552496 -8.1652601092701)))","8","6",TPS Arowana,TIPE_I,AKTIF,"2500","100","90"
"MULTIPOLYGON (((113.70036717423 -8.17823911786228,113.700355251967 -8.17829981301728,113.700399689491 -8.17830739991166,113.70041486328 -8.1782456209146,113.70036717423 -8.17823911786228)))","9","4",TPS Wahid Hasyim,TIPE_I,AKTIF,"2500","100","80"
"MULTIPOLYGON (((113.663548653227 -8.17885108218182,113.663543098537 -8.17889917767294,113.663566536621 -8.17890148083731,113.663571684871 -8.17885460466849,113.663548653227 -8.17885108218182)))","10","1",TPS Candika,TIPE_I,AKTIF,"2500","100","80"
